"Team" "diff_1st.Downs" "diff_3rd.down.efficiency" "diff_4th.down.efficiency" "diff_Total.Yards" "diff_Passing" "diff_Comp.Att" "diff_Yards.per.pass" "diff_Interceptions.thrown" "diff_Rushing" "diff_Rushing.Attempts" "diff_Yards.per.rush" "diff_Penalties" "diff_Turnovers" "diff_Fumbles.lost" "diff_Possession" "diff_Score" "Result_num" "CONF_PWR" "OPP_CONF_PWR" "CONF_Matchup" "Conference" "Team_P5_G5"
"1" "AFA" 7.333 0.147 0.24 142.25 -88.917 -0.143 3.933 -0.583 231.167 32.917 1.858 -1.917 -0.25 0.333 12.105 14.417 0.75 4 5.417 -1.417 "MW" "G5"
"2" "AKR" 1.667 -0.02 -0.286 -33.583 39.25 0.028 -1.708 0.25 -72.833 -7.083 -1.4 -3.917 1.083 0.833 -0.002 -11.75 0.167 1 4.5 -3.5 "MAC" "G5"
"3" "ALA" 5.833 0.16 0.153 164.167 92.25 0.089 2.692 0.25 71.917 -0.25 2.15 18.75 0.333 0.083 0.732 22.75 0.833 22 17.083 4.917 "SEC" "P5"
"4" "APP" 3.75 -0.063 0.042 108.167 31.25 0.042 1.617 -0.083 76.917 4.5 1.392 -1.417 -0.75 -0.667 0.83 8.167 0.5 5 6.583 -1.583 "SBC" "G5"
"5" "ARIZ" -1.583 -0.053 -0.151 -5.25 59.833 -0.057 0.867 0.75 -65.083 -8.083 -0.567 0.917 0.417 -0.333 -3.883 -5.667 0.417 19 16.417 2.583 "PAC12" "P5"
"6" "ARK" 1.5 0.02 -0.243 0.5 -43.583 0.053 0.092 -0.083 44.083 8.333 0.425 -6 0.083 0.167 -1.408 1.917 0.5 22 17.333 4.667 "SEC" "P5"
"7" "ARMY" -1.75 0.074 0.118 7.083 -83.333 -0.275 -0.308 -0.5 90.417 14.583 0.192 -2.25 -0.333 0.167 3.275 6.083 0.5 3 5 -2 "Ind_Low" "G5"
"8" "ARST" -3.5 -0.081 -0.069 -90.333 -16.083 0.031 -1.183 -0.083 -74.25 -8.583 -1.483 -2.833 -0.167 -0.083 -0.772 -6.417 0.25 5 6.25 -1.25 "SBC" "G5"
"9" "ASU" -2.667 -0.12 0.194 -34.333 18.5 0.044 0.342 -0.083 -52.833 -4.167 -0.883 17.833 0.5 0.583 1.493 -5.333 0.25 19 16 3 "PAC12" "P5"
"10" "AUB" -2.25 -0.065 0.21 -16.75 -49.917 -0.063 -0.283 0.5 33.167 3.417 0.775 -0.5 0.75 0.25 0.437 -4.75 0.417 22 16.917 5.083 "SEC" "P5"
"11" "BALL" -2.083 -0.038 -0.208 -15.083 12.417 -0.001 -0.692 0.583 -27.5 -9.5 0.342 -2 0.5 -0.083 -4.005 -3.667 0.417 1 3.167 -2.167 "MAC" "G5"
"12" "BAY" 2.75 -0.036 0.332 58.833 2.333 0.028 0.292 -0.167 56.5 6.667 0.9 -1 -0.083 0.083 4.935 7 0.5 20 16.917 3.083 "BIG12" "P5"
"13" "BC" -3.167 -0.051 0.139 -68.25 35.917 0.006 -0.35 0.583 -104.167 -7.833 -2.383 -3.417 1 0.417 -1.493 -12.583 0.25 17 14.833 2.167 "ACC" "P5"
"14" "BGSU" -4.167 -0.104 0.106 -83.083 -20.917 -0.011 -0.525 0.083 -62.167 -5.75 -1.175 20.417 -0.083 -0.167 -0.789 -9.417 0.5 1 4.5 -3.5 "MAC" "G5"
"15" "BOIS" 5.385 0.109 0.092 100.154 34 0.103 0.715 -0.308 66.154 3.154 1.569 5.923 -0.077 0.231 1.573 10.538 0.692 4 5.769 -1.769 "MW" "G5"
"16" "BUFF" 3.25 0.018 0.36 -15.083 16.667 0.039 -0.658 -0.25 -31.75 6.5 -1.733 -4.417 -0.5 -0.25 6.982 1.833 0.5 1 3.083 -2.083 "MAC" "G5"
"17" "BYU" 0.5 0.021 -0.172 31.667 30.917 -0.02 0.517 -0.083 0.75 -4.25 0.525 3.917 -0.167 -0.083 -2.062 1.917 0.583 18 11.25 6.75 "Ind_High" "P5"
"18" "CAL" -4 -0.024 -0.085 -64.75 -11.5 -0.035 -0.4 -0.167 -53.25 -8.917 -0.858 -9.417 -0.5 -0.333 -2.558 -3.917 0.333 19 16.083 2.917 "PAC12" "P5"
"19" "CCU" 1.417 0.003 0.081 -1.583 -33 0.012 -1.517 -0.25 31.417 5.667 0.275 -1.333 -0.5 -0.25 5.587 -1 0.75 5 4.083 0.917 "SBC" "G5"
"20" "CIN" -0.917 0.025 0.121 64.333 69.583 0.047 0.792 -0.083 -5.25 -9.667 0.75 33.417 -0.333 -0.25 -3.39 10.75 0.75 11 11 0 "AAC" "G5"
"21" "CLEM" 3.769 0.111 0.096 73.308 -4.615 0.024 0.485 -0.385 77.923 7.462 1.6 -8 -0.077 0.308 1.615 14.615 0.846 17 15 2 "ACC" "P5"
